#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-293EFB575B970D3-2F5FE9434E18A6E
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-21T16:46:53	Run time	0:00:07:10
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >lcl|AP007255.1_prot_BAE48805.1_1 [locus_tag=amb0001] [protein=Predicted GTPase] [protein_id=BAE48805.1] [location=239..1336] [gbkey=CDS]	non-specific	223561	1	365	8.34547e-136	394.619	COG0486	MnmE	 - 	cl26334
Q#1 - >lcl|AP007255.1_prot_BAE48805.1_1 [locus_tag=amb0001] [protein=Predicted GTPase] [protein_id=BAE48805.1] [location=239..1336] [gbkey=CDS]	superfamily	331155	1	365	8.34547e-136	394.619	cl26334	MnmE_helical superfamily	 - 	 - 
Q#2 - >lcl|AP007255.1_prot_BAE48806.1_2 [locus_tag=amb0002] [protein=NAD/FAD-utilizing enzyme apparently involved in cell division] [protein_id=BAE48806.1] [location=1352..3265] [gbkey=CDS]	specific	223522	41	626	0	948.523	COG0445	MnmG	 - 	cl26065
Q#2 - >lcl|AP007255.1_prot_BAE48806.1_2 [locus_tag=amb0002] [protein=NAD/FAD-utilizing enzyme apparently involved in cell division] [protein_id=BAE48806.1] [location=1352..3265] [gbkey=CDS]	superfamily	330886	41	626	0	948.523	cl26065	GIDA_assoc superfamily	 - 	 - 
Q#3 - >lcl|AP007255.1_prot_BAE48807.1_3 [locus_tag=amb0003] [protein=Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division] [protein_id=BAE48807.1] [location=3320..3937] [gbkey=CDS]	specific	223434	12	204	5.25074e-56	176.334	COG0357	RsmG	 - 	cl17173
Q#3 - >lcl|AP007255.1_prot_BAE48807.1_3 [locus_tag=amb0003] [protein=Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division] [protein_id=BAE48807.1] [location=3320..3937] [gbkey=CDS]	superfamily	327401	12	204	5.25074e-56	176.334	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#4 - >lcl|AP007255.1_prot_BAE48808.1_4 [locus_tag=amb0004] [protein=ATPase involved in chromosome partitioning] [protein_id=BAE48808.1] [location=3918..4715] [gbkey=CDS]	specific	224113	9	264	2.29649e-86	257.833	COG1192	BcsQ	 - 	cl27521
Q#4 - >lcl|AP007255.1_prot_BAE48808.1_4 [locus_tag=amb0004] [protein=ATPase involved in chromosome partitioning] [protein_id=BAE48808.1] [location=3918..4715] [gbkey=CDS]	superfamily	332342	9	264	2.29649e-86	257.833	cl27521	CbiA superfamily	 - 	 - 
Q#6 - >lcl|AP007255.1_prot_BAE48810.1_6 [locus_tag=amb0006] [protein=Uncharacterized protein] [protein_id=BAE48810.1] [location=6119..6610] [gbkey=CDS]	specific	225557	4	162	1.70744e-56	173.759	COG3012	YchJ	 - 	cl27358
Q#6 - >lcl|AP007255.1_prot_BAE48810.1_6 [locus_tag=amb0006] [protein=Uncharacterized protein] [protein_id=BAE48810.1] [location=6119..6610] [gbkey=CDS]	superfamily	332179	4	162	1.70744e-56	173.759	cl27358	YchJ superfamily	 - 	 - 
Q#7 - >lcl|AP007255.1_prot_BAE48811.1_7 [locus_tag=amb0007] [protein=Thioredoxin domain-containing protein] [protein_id=BAE48811.1] [location=7065..7997] [gbkey=CDS]	specific	225660	24	309	1.01387e-101	300.044	COG3118	YbbN	 - 	cl27119
Q#7 - >lcl|AP007255.1_prot_BAE48811.1_7 [locus_tag=amb0007] [protein=Thioredoxin domain-containing protein] [protein_id=BAE48811.1] [location=7065..7997] [gbkey=CDS]	superfamily	331940	24	309	1.01387e-101	300.044	cl27119	YbbN superfamily	 - 	 - 
Q#8 - >lcl|AP007255.1_prot_BAE48812.1_8 [locus_tag=amb0008] [protein=Uncharacterized protein] [protein_id=BAE48812.1] [location=8006..8665] [gbkey=CDS]	non-specific	225362	9	204	2.72278e-46	152.569	COG2802	LON	 - 	cl19481
