#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-20D0E350F10A749B-1B13ACF69F6B10A2
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-20T15:23:22	Run time	0:00:11:39
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >lcl|CP000471.1_prot_ABK42530.1_1 [locus_tag=Mmc1_0001] [db_xref=InterPro:IPR001957,InterPro:IPR003593,InterPro:IPR013159,InterPro:IPR013317] [protein=chromosomal replication initiator protein DnaA] [protein_id=ABK42530.1] [location=181..1524] [gbkey=CDS]	specific	223666	5	443	6.90568e-169	480.244	COG0593	DnaA	 - 	cl07055
Q#1 - >lcl|CP000471.1_prot_ABK42530.1_1 [locus_tag=Mmc1_0001] [db_xref=InterPro:IPR001957,InterPro:IPR003593,InterPro:IPR013159,InterPro:IPR013317] [protein=chromosomal replication initiator protein DnaA] [protein_id=ABK42530.1] [location=181..1524] [gbkey=CDS]	superfamily	323743	5	443	6.90568e-169	480.244	cl07055	Bac_DnaA_C superfamily	 - 	 - 
Q#2 - >lcl|CP000471.1_prot_ABK42531.1_2 [locus_tag=Mmc1_0002] [db_xref=InterPro:IPR001001] [protein=DNA polymerase III, beta subunit] [protein_id=ABK42531.1] [location=1570..2700] [gbkey=CDS]	specific	223665	1	376	2.3388e-107	319.226	COG0592	DnaN	 - 	cl27370
Q#2 - >lcl|CP000471.1_prot_ABK42531.1_2 [locus_tag=Mmc1_0002] [db_xref=InterPro:IPR001001] [protein=DNA polymerase III, beta subunit] [protein_id=ABK42531.1] [location=1570..2700] [gbkey=CDS]	superfamily	332191	1	376	2.3388e-107	319.226	cl27370	beta_clamp superfamily	 - 	 - 
Q#3 - >lcl|CP000471.1_prot_ABK42532.1_3 [locus_tag=Mmc1_0003] [db_xref=InterPro:IPR001238,InterPro:IPR003395] [protein=DNA replication and repair protein RecF] [protein_id=ABK42532.1] [location=2711..3859] [gbkey=CDS]	specific	224116	1	369	2.15674e-74	234.808	COG1195	RecF	 - 	cl26227
Q#3 - >lcl|CP000471.1_prot_ABK42532.1_3 [locus_tag=Mmc1_0003] [db_xref=InterPro:IPR001238,InterPro:IPR003395] [protein=DNA replication and repair protein RecF] [protein_id=ABK42532.1] [location=2711..3859] [gbkey=CDS]	superfamily	331048	1	369	2.15674e-74	234.808	cl26227	RecF superfamily	 - 	 - 
Q#4 - >lcl|CP000471.1_prot_ABK42533.1_4 [locus_tag=Mmc1_0004] [protein=ATP binding protein] [protein_id=ABK42533.1] [location=3859..5223] [gbkey=CDS]	non-specific	226459	1	426	1.11459e-73	237.907	COG3950	COG3950	 - 	cl26248
Q#4 - >lcl|CP000471.1_prot_ABK42533.1_4 [locus_tag=Mmc1_0004] [protein=ATP binding protein] [protein_id=ABK42533.1] [location=3859..5223] [gbkey=CDS]	superfamily	331069	1	426	1.11459e-73	237.907	cl26248	AAA_15 superfamily	 - 	 - 
Q#6 - >lcl|CP000471.1_prot_ABK42535.1_6 [locus_tag=Mmc1_0006] [db_xref=InterPro:IPR000565,InterPro:IPR001241,InterPro:IPR002288,InterPro:IPR003594,InterPro:IPR006171,InterPro:IPR011557,InterPro:IPR011558,InterPro:IPR013506] [protein=DNA gyrase subunit B] [protein_id=ABK42535.1] [location=5916..8354] [gbkey=CDS]	specific	223265	16	812	0	1042.09	COG0187	GyrB	 - 	cl25574
Q#6 - >lcl|CP000471.1_prot_ABK42535.1_6 [locus_tag=Mmc1_0006] [db_xref=InterPro:IPR000565,InterPro:IPR001241,InterPro:IPR002288,InterPro:IPR003594,InterPro:IPR006171,InterPro:IPR011557,InterPro:IPR011558,InterPro:IPR013506] [protein=DNA gyrase subunit B] [protein_id=ABK42535.1] [location=5916..8354] [gbkey=CDS]	superfamily	330395	16	812	0	1042.09	cl25574	TOP2c superfamily	 - 	 - 
Q#9 - >lcl|CP000471.1_prot_ABK42538.1_9 [locus_tag=Mmc1_0009] [db_xref=InterPro:IPR002191,InterPro:IPR006305] [protein=flagellar biosynthetic protein FliQ] [protein_id=ABK42538.1] [location=10453..10722] [gbkey=CDS]	specific	224898	1	88	1.1965e-23	85.3327	COG1987	FliQ	 - 	cl00867
Q#9 - >lcl|CP000471.1_prot_ABK42538.1_9 [locus_tag=Mmc1_0009] [db_xref=InterPro:IPR002191,InterPro:IPR006305] [protein=flagellar biosynthetic protein FliQ] [protein_id=ABK42538.1] [location=10453..10722] [gbkey=CDS]	superfamily	321219	1	88	1.1965e-23	85.3327	cl00867	Bac_export_3 superfamily	 - 	 - 
Q#10 - >lcl|CP000471.1_prot_ABK42539.1_10 [locus_tag=Mmc1_0010] [db_xref=InterPro:IPR002010,InterPro:IPR006303] [protein=flagellar biosynthetic protein FliR] [protein_id=ABK42539.1] [location=10733..11533] [gbkey=CDS]	non-specific	224598	21	266	4.62591e-30	113.069	COG1684	FliR	 - 	cl00734
