#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-FB37E18DE5CD60B-2CDA1CB2FFAB2A49
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-21T16:50:08	Run time	0:00:06:41
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >lcl|CP025268.1_prot_AUG14806.1_2 [locus_tag=CXP41_00010] [protein=bifunctional aspartokinase I/homoserine dehydrogenase I] [protein_id=AUG14806.1] [location=337..2799] [gbkey=CDS]	specific	223601	1	460	0	540.705	COG0527	LysC	 - 	cl28402
Q#2 - >lcl|CP025268.1_prot_AUG14806.1_2 [locus_tag=CXP41_00010] [protein=bifunctional aspartokinase I/homoserine dehydrogenase I] [protein_id=AUG14806.1] [location=337..2799] [gbkey=CDS]	superfamily	333222	1	460	0	540.705	cl28402	LysC superfamily	 - 	 - 
Q#2 - >lcl|CP025268.1_prot_AUG14806.1_2 [locus_tag=CXP41_00010] [protein=bifunctional aspartokinase I/homoserine dehydrogenase I] [protein_id=AUG14806.1] [location=337..2799] [gbkey=CDS]	specific	223536	479	820	1.92584e-114	350.727	COG0460	ThrA	 - 	cl27644
Q#2 - >lcl|CP025268.1_prot_AUG14806.1_2 [locus_tag=CXP41_00010] [protein=bifunctional aspartokinase I/homoserine dehydrogenase I] [protein_id=AUG14806.1] [location=337..2799] [gbkey=CDS]	superfamily	332465	479	820	1.92584e-114	350.727	cl27644	Homoserine_dh superfamily	 - 	 - 
Q#3 - >lcl|CP025268.1_prot_AUG14807.1_3 [locus_tag=CXP41_00015] [protein=homoserine kinase] [protein_id=AUG14807.1] [location=2801..3733] [gbkey=CDS]	specific	223161	1	310	2.00726e-149	420.853	COG0083	ThrB	 - 	cl28350
Q#3 - >lcl|CP025268.1_prot_AUG14807.1_3 [locus_tag=CXP41_00015] [protein=homoserine kinase] [protein_id=AUG14807.1] [location=2801..3733] [gbkey=CDS]	superfamily	333170	1	310	2.00726e-149	420.853	cl28350	ThrB superfamily	 - 	 - 
Q#4 - >lcl|CP025268.1_prot_AUG14808.1_4 [locus_tag=CXP41_00020] [protein=threonine synthase] [protein_id=AUG14808.1] [location=3734..5020] [gbkey=CDS]	specific	223572	1	427	1.15753e-143	415.566	COG0498	ThrC	 - 	cl25429
Q#4 - >lcl|CP025268.1_prot_AUG14808.1_4 [locus_tag=CXP41_00020] [protein=threonine synthase] [protein_id=AUG14808.1] [location=3734..5020] [gbkey=CDS]	superfamily	330250	1	427	1.15753e-143	415.566	cl25429	PALP superfamily	 - 	 - 
Q#6 - >lcl|CP025268.1_prot_AUG14810.1_6 [locus_tag=CXP41_00030] [protein=peroxide stress protein YaaA] [protein_id=AUG14810.1] [location=complement(5683..6459)] [gbkey=CDS]	specific	225566	1	257	1.32802e-140	394.767	COG3022	YaaA	 - 	cl01143
Q#6 - >lcl|CP025268.1_prot_AUG14810.1_6 [locus_tag=CXP41_00030] [protein=peroxide stress protein YaaA] [protein_id=AUG14810.1] [location=complement(5683..6459)] [gbkey=CDS]	superfamily	321367	1	257	1.32802e-140	394.767	cl01143	H2O2_YaaD superfamily	 - 	 - 
Q#7 - >lcl|CP025268.1_prot_AUG14811.1_7 [locus_tag=CXP41_00035] [protein=amino acid carrier protein] [protein_id=AUG14811.1] [location=complement(6529..7911)] [gbkey=CDS]	specific	224040	1	433	0	529.455	COG1115	AlsT	 - 	cl00548
