#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2AD8467FF2C1C184-359A7F194F5BCBD0
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-21T16:49:12	Run time	0:00:06:55
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >lcl|CP010951.1_prot_AMO25152.1_1 [locus_tag=UC35_00005] [protein=hypothetical protein] [protein_id=AMO25152.1] [location=160..639] [gbkey=CDS]	specific	224347	42	157	1.66002e-42	137.466	COG1430	COG1430	 - 	cl00627
Q#1 - >lcl|CP010951.1_prot_AMO25152.1_1 [locus_tag=UC35_00005] [protein=hypothetical protein] [protein_id=AMO25152.1] [location=160..639] [gbkey=CDS]	superfamily	321080	42	157	1.66002e-42	137.466	cl00627	DUF192 superfamily	 - 	 - 
Q#2 - >lcl|CP010951.1_prot_AMO21545.1_2 [locus_tag=UC35_00010] [protein=superoxide dismutase] [protein_id=AMO21545.1] [location=complement(715..1296)] [gbkey=CDS]	specific	223678	1	192	9.50913e-93	268.751	COG0605	SodA	 - 	cl27368
Q#2 - >lcl|CP010951.1_prot_AMO21545.1_2 [locus_tag=UC35_00010] [protein=superoxide dismutase] [protein_id=AMO21545.1] [location=complement(715..1296)] [gbkey=CDS]	superfamily	332189	1	192	9.50913e-93	268.751	cl27368	Sod_Fe_C superfamily	 - 	 - 
Q#3 - >lcl|CP010951.1_prot_AMO21546.1_3 [locus_tag=UC35_00015] [protein=exodeoxyribonuclease VII] [protein_id=AMO21546.1] [location=complement(1371..2663)] [gbkey=CDS]	specific	224486	13	424	6.808e-146	422.433	COG1570	XseA	 - 	cl25917
Q#3 - >lcl|CP010951.1_prot_AMO21546.1_3 [locus_tag=UC35_00015] [protein=exodeoxyribonuclease VII] [protein_id=AMO21546.1] [location=complement(1371..2663)] [gbkey=CDS]	superfamily	330738	13	424	6.808e-146	422.433	cl25917	Exonuc_VII_L superfamily	 - 	 - 
Q#4 - >lcl|CP010951.1_prot_AMO21547.1_4 [locus_tag=UC35_00020] [protein=flagellar motor protein MotA] [protein_id=AMO21547.1] [location=2998..3630] [gbkey=CDS]	specific	223881	1	194	1.88759e-42	142.066	COG0811	TolQ	 - 	cl00568
Q#4 - >lcl|CP010951.1_prot_AMO21547.1_4 [locus_tag=UC35_00020] [protein=flagellar motor protein MotA] [protein_id=AMO21547.1] [location=2998..3630] [gbkey=CDS]	superfamily	321046	1	194	1.88759e-42	142.066	cl00568	MotA_ExbB superfamily	 - 	 - 
Q#5 - >lcl|CP010951.1_prot_AMO21548.1_5 [locus_tag=UC35_00025] [protein=biopolymer transporter ExbD] [protein_id=AMO21548.1] [location=3627..4052] [gbkey=CDS]	specific	223917	1	136	2.61005e-27	98.4582	COG0848	ExbD	 - 	cl00537
Q#5 - >lcl|CP010951.1_prot_AMO21548.1_5 [locus_tag=UC35_00025] [protein=biopolymer transporter ExbD] [protein_id=AMO21548.1] [location=3627..4052] [gbkey=CDS]	superfamily	321029	1	136	2.61005e-27	98.4582	cl00537	ExbD superfamily	 - 	 - 
Q#6 - >lcl|CP010951.1_prot_AMO21549.1_6 [locus_tag=UC35_00030] [protein=tetraacyldisaccharide 4'-kinase] [protein_id=AMO21549.1] [location=4052..5014] [gbkey=CDS]	non-specific	224577	9	301	8.87786e-81	248.394	COG1663	LpxK	 - 	cl23778
Q#6 - >lcl|CP010951.1_prot_AMO21549.1_6 [locus_tag=UC35_00030] [protein=tetraacyldisaccharide 4'-kinase] [protein_id=AMO21549.1] [location=4052..5014] [gbkey=CDS]	superfamily	329069	9	301	8.87786e-81	248.394	cl23778	LpxK superfamily	 - 	 - 
Q#7 - >lcl|CP010951.1_prot_AMO21550.1_7 [locus_tag=UC35_00035] [protein=tetraacyldisaccharide 4'-kinase] [protein_id=AMO21550.1] [location=5022..5228] [gbkey=CDS]	specific	225391	1	60	2.48264e-25	88.1216	COG2835	YcaR	 - 	cl01066
Q#7 - >lcl|CP010951.1_prot_AMO21550.1_7 [locus_tag=UC35_00035] [protein=tetraacyldisaccharide 4'-kinase] [protein_id=AMO21550.1] [location=5022..5228] [gbkey=CDS]	superfamily	321323	1	60	2.48264e-25	88.1216	cl01066	Trm112p superfamily	 - 	 - 
Q#8 - >lcl|CP010951.1_prot_AMO21551.1_8 [locus_tag=UC35_00040] [protein=3-deoxy-manno-octulosonate cytidylyltransferase] [protein_id=AMO21551.1] [location=5263..6033] [gbkey=CDS]	specific	224133	1	249	9.14171e-126	356.592	COG1212	KdsB	 - 	cl11394
Q#8 - >lcl|CP010951.1_prot_AMO21551.1_8 [locus_tag=UC35_00040] [protein=3-deoxy-manno-octulosonate cytidylyltransferase] [protein_id=AMO21551.1] [location=5263..6033] [gbkey=CDS]	superfamily	325014	1	249	9.14171e-126	356.592	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#9 - >lcl|CP010951.1_prot_AMO21552.1_9 [locus_tag=UC35_00045] [protein=adenylate kinase] [protein_id=AMO21552.1] [location=6164..6820] [gbkey=CDS]	specific	223637	1	216	1.6683e-67	204.817	COG0563	Adk	 - 	cl27057
Q#9 - >lcl|CP010951.1_prot_AMO21552.1_9 [locus_tag=UC35_00045] [protein=adenylate kinase] [protein_id=AMO21552.1] [location=6164..6820] [gbkey=CDS]	superfamily	331878	1	216	1.6683e-67	204.817	cl27057	ADK superfamily	 - 	 - 
Q#12 - >lcl|CP010951.1_prot_AMO21554.1_12 [locus_tag=UC35_00060] [protein=asparaginase] [protein_id=AMO21554.1] [location=complement(7722..8657)] [gbkey=CDS]	specific	223330	4	309	2.31599e-77	239.498	COG0252	AnsA	 - 	cl00216
Q#12 - >lcl|CP010951.1_prot_AMO21554.1_12 [locus_tag=UC35_00060] [protein=asparaginase] [protein_id=AMO21554.1] [location=complement(7722..8657)] [gbkey=CDS]	superfamily	320827	4	309	2.31599e-77	239.498	cl00216	L-asparaginase_like superfamily	 - 	 - 
Q#13 - >lcl|CP010951.1_prot_AMO21555.1_13 [locus_tag=UC35_00065] [protein=LexA family transcriptional regulator] [protein_id=AMO21555.1] [location=8718..9392] [gbkey=CDS]	specific	224885	6	220	1.5389e-66	203.635	COG1974	LexA	 - 	cl28411
Q#13 - >lcl|CP010951.1_prot_AMO21555.1_13 [locus_tag=UC35_00065] [protein=LexA family transcriptional regulator] [protein_id=AMO21555.1] [location=8718..9392] [gbkey=CDS]	superfamily	333231	6	220	1.5389e-66	203.635	cl28411	COG2932 superfamily	 - 	 - 
Q#15 - >lcl|CP010951.1_prot_AMO21557.1_15 [locus_tag=UC35_00075] [protein=hypothetical protein] [protein_id=AMO21557.1] [location=complement(9949..10464)] [gbkey=CDS]	non-specific	226333	1	168	2.17655e-74	220.882	COG3812	COG3812	 - 	cl01567
Q#15 - >lcl|CP010951.1_prot_AMO21557.1_15 [locus_tag=UC35_00075] [protein=hypothetical protein] [protein_id=AMO21557.1] [location=complement(9949..10464)] [gbkey=CDS]	superfamily	321571	1	168	2.17655e-74	220.882	cl01567	DUF1993 superfamily	 - 	 - 
Q#16 - >lcl|CP010951.1_prot_AMO21558.1_16 [locus_tag=UC35_00080] [protein=3-phosphoglycerate dehydrogenase] [protein_id=AMO21558.1] [location=10589..11593] [gbkey=CDS]	specific	223189	43	334	1.49121e-83	255.316	COG0111	SerA	 - 	cl28378
Q#16 - >lcl|CP010951.1_prot_AMO21558.1_16 [locus_tag=UC35_00080] [protein=3-phosphoglycerate dehydrogenase] [protein_id=AMO21558.1] [location=10589..11593] [gbkey=CDS]	superfamily	333198	43	334	1.49121e-83	255.316	cl28378	SerA superfamily	 - 	 - 
Q#17 - >lcl|CP010951.1_prot_AMO25154.1_17 [locus_tag=UC35_00085] [protein=transporter] [protein_id=AMO25154.1] [location=11663..12799] [gbkey=CDS]	specific	225371	1	375	7.57599e-53	179.732	COG2814	AraJ	 - 	cl26865
