#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-4A0587AFD5D49EA-2A362F811F47AD09
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-21T16:48:25	Run time	0:00:06:26
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >lcl|CU928160.2_prot_CAQ96893.1_2 [gene=thrA] [locus_tag=ECIAI1_0002] [db_xref=EnsemblGenomes-Gn:ECIAI1_0002,EnsemblGenomes-Tr:CAQ96893,GOA:B7M099,InterPro:IPR001048,InterPro:IPR001341,InterPro:IPR001342,InterPro:IPR002912,InterPro:IPR005106,InterPro:IPR011147,InterPro:IPR016040,InterPro:IPR018042,InterPro:IPR019811,InterPro:IPR027795,UniProtKB/TrEMBL:B7M099] [protein=fused aspartokinase I ; homoserine dehydrogenase I] [protein_id=CAQ96893.1] [location=336..2798] [gbkey=CDS]	specific	223601	1	460	0	540.705	COG0527	LysC	 - 	cl28402
Q#2 - >lcl|CU928160.2_prot_CAQ96893.1_2 [gene=thrA] [locus_tag=ECIAI1_0002] [db_xref=EnsemblGenomes-Gn:ECIAI1_0002,EnsemblGenomes-Tr:CAQ96893,GOA:B7M099,InterPro:IPR001048,InterPro:IPR001341,InterPro:IPR001342,InterPro:IPR002912,InterPro:IPR005106,InterPro:IPR011147,InterPro:IPR016040,InterPro:IPR018042,InterPro:IPR019811,InterPro:IPR027795,UniProtKB/TrEMBL:B7M099] [protein=fused aspartokinase I ; homoserine dehydrogenase I] [protein_id=CAQ96893.1] [location=336..2798] [gbkey=CDS]	superfamily	333222	1	460	0	540.705	cl28402	LysC superfamily	 - 	 - 
Q#2 - >lcl|CU928160.2_prot_CAQ96893.1_2 [gene=thrA] [locus_tag=ECIAI1_0002] [db_xref=EnsemblGenomes-Gn:ECIAI1_0002,EnsemblGenomes-Tr:CAQ96893,GOA:B7M099,InterPro:IPR001048,InterPro:IPR001341,InterPro:IPR001342,InterPro:IPR002912,InterPro:IPR005106,InterPro:IPR011147,InterPro:IPR016040,InterPro:IPR018042,InterPro:IPR019811,InterPro:IPR027795,UniProtKB/TrEMBL:B7M099] [protein=fused aspartokinase I ; homoserine dehydrogenase I] [protein_id=CAQ96893.1] [location=336..2798] [gbkey=CDS]	specific	223536	479	820	5.03246e-114	349.571	COG0460	ThrA	 - 	cl27644
Q#2 - >lcl|CU928160.2_prot_CAQ96893.1_2 [gene=thrA] [locus_tag=ECIAI1_0002] [db_xref=EnsemblGenomes-Gn:ECIAI1_0002,EnsemblGenomes-Tr:CAQ96893,GOA:B7M099,InterPro:IPR001048,InterPro:IPR001341,InterPro:IPR001342,InterPro:IPR002912,InterPro:IPR005106,InterPro:IPR011147,InterPro:IPR016040,InterPro:IPR018042,InterPro:IPR019811,InterPro:IPR027795,UniProtKB/TrEMBL:B7M099] [protein=fused aspartokinase I ; homoserine dehydrogenase I] [protein_id=CAQ96893.1] [location=336..2798] [gbkey=CDS]	superfamily	332465	479	820	5.03246e-114	349.571	cl27644	Homoserine_dh superfamily	 - 	 - 
Q#3 - >lcl|CU928160.2_prot_CAQ96894.1_3 [gene=thrB] [locus_tag=ECIAI1_0003] [db_xref=EnsemblGenomes-Gn:ECIAI1_0003,EnsemblGenomes-Tr:CAQ96894,GOA:B7M0A0,InterPro:IPR000870,InterPro:IPR006203,InterPro:IPR006204,InterPro:IPR013750,InterPro:IPR014721,InterPro:IPR020568] [protein=homoserine kinase] [protein_id=CAQ96894.1] [location=2800..3732] [gbkey=CDS]	specific	223161	1	310	1.06385e-149	421.623	COG0083	ThrB	 - 	cl28350
Q#3 - >lcl|CU928160.2_prot_CAQ96894.1_3 [gene=thrB] [locus_tag=ECIAI1_0003] [db_xref=EnsemblGenomes-Gn:ECIAI1_0003,EnsemblGenomes-Tr:CAQ96894,GOA:B7M0A0,InterPro:IPR000870,InterPro:IPR006203,InterPro:IPR006204,InterPro:IPR013750,InterPro:IPR014721,InterPro:IPR020568] [protein=homoserine kinase] [protein_id=CAQ96894.1] [location=2800..3732] [gbkey=CDS]	superfamily	333170	1	310	1.06385e-149	421.623	cl28350	ThrB superfamily	 - 	 - 
Q#4 - >lcl|CU928160.2_prot_CAQ96895.1_4 [gene=thrC] [locus_tag=ECIAI1_0004] [db_xref=EnsemblGenomes-Gn:ECIAI1_0004,EnsemblGenomes-Tr:CAQ96895,GOA:B7M0A1,InterPro:IPR000634,InterPro:IPR001926,InterPro:IPR004450,InterPro:IPR029144,UniProtKB/TrEMBL:B7M0A1] [protein=threonine synthase] [protein_id=CAQ96895.1] [location=3733..5019] [gbkey=CDS]	specific	223572	1	427	7.56793e-144	415.951	COG0498	ThrC	 - 	cl25429
Q#4 - >lcl|CU928160.2_prot_CAQ96895.1_4 [gene=thrC] [locus_tag=ECIAI1_0004] [db_xref=EnsemblGenomes-Gn:ECIAI1_0004,EnsemblGenomes-Tr:CAQ96895,GOA:B7M0A1,InterPro:IPR000634,InterPro:IPR001926,InterPro:IPR004450,InterPro:IPR029144,UniProtKB/TrEMBL:B7M0A1] [protein=threonine synthase] [protein_id=CAQ96895.1] [location=3733..5019] [gbkey=CDS]	superfamily	330250	1	427	7.56793e-144	415.951	cl25429	PALP superfamily	 - 	 - 
Q#6 - >lcl|CU928160.2_prot_CAQ96897.1_6 [gene=yaaA] [locus_tag=ECIAI1_0006] [db_xref=EnsemblGenomes-Gn:ECIAI1_0006,EnsemblGenomes-Tr:CAQ96897,InterPro:IPR005583] [protein=conserved hypothetical protein; family UPF0246] [protein_id=CAQ96897.1] [location=complement(5682..6458)] [gbkey=CDS]	specific	225566	1	257	1.61755e-140	394.382	COG3022	YaaA	 - 	cl01143
Q#6 - >lcl|CU928160.2_prot_CAQ96897.1_6 [gene=yaaA] [locus_tag=ECIAI1_0006] [db_xref=EnsemblGenomes-Gn:ECIAI1_0006,EnsemblGenomes-Tr:CAQ96897,InterPro:IPR005583] [protein=conserved hypothetical protein; family UPF0246] [protein_id=CAQ96897.1] [location=complement(5682..6458)] [gbkey=CDS]	superfamily	321367	1	257	1.61755e-140	394.382	cl01143	H2O2_YaaD superfamily	 - 	 - 
