#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-11AEF88A96960C7B-23BE53A1EFA489F6
#datatype	hitsStandard Results
#status	0
#Start time	2018-02-20T15:25:27	Run time	0:00:11:40
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >lcl|CP000245.1_prot_AEG91060.1_1 [gene=dnaA] [locus_tag=Rta_00010] [protein=Candidate chromosomal replication initiator protein] [protein_id=AEG91060.1] [location=52..1464] [gbkey=CDS]	specific	223666	23	466	4.57998e-160	458.673	COG0593	DnaA	 - 	cl07055
Q#1 - >lcl|CP000245.1_prot_AEG91060.1_1 [gene=dnaA] [locus_tag=Rta_00010] [protein=Candidate chromosomal replication initiator protein] [protein_id=AEG91060.1] [location=52..1464] [gbkey=CDS]	superfamily	323743	23	466	4.57998e-160	458.673	cl07055	Bac_DnaA_C superfamily	 - 	 - 
Q#2 - >lcl|CP000245.1_prot_AEG91061.1_2 [gene=dnaN] [locus_tag=Rta_00020] [protein=Candidate DNA polymerase III sliding clamp subunit] [protein_id=AEG91061.1] [location=1501..2607] [gbkey=CDS]	specific	223665	4	368	3.43342e-107	318.456	COG0592	DnaN	 - 	cl27370
Q#2 - >lcl|CP000245.1_prot_AEG91061.1_2 [gene=dnaN] [locus_tag=Rta_00020] [protein=Candidate DNA polymerase III sliding clamp subunit] [protein_id=AEG91061.1] [location=1501..2607] [gbkey=CDS]	superfamily	332191	4	368	3.43342e-107	318.456	cl27370	beta_clamp superfamily	 - 	 - 
Q#3 - >lcl|CP000245.1_prot_AEG91062.1_3 [gene=gyrB] [locus_tag=Rta_00030] [protein=Candidate DNA gyrase subunit B] [protein_id=AEG91062.1] [location=2637..5273] [gbkey=CDS]	specific	223265	35	878	0	960.431	COG0187	GyrB	 - 	cl25574
Q#3 - >lcl|CP000245.1_prot_AEG91062.1_3 [gene=gyrB] [locus_tag=Rta_00030] [protein=Candidate DNA gyrase subunit B] [protein_id=AEG91062.1] [location=2637..5273] [gbkey=CDS]	superfamily	330395	35	878	0	960.431	cl25574	TOP2c superfamily	 - 	 - 
Q#7 - >lcl|CP000245.1_prot_AEG91066.1_7 [locus_tag=Rta_00070] [protein=hypothetical protein] [protein_id=AEG91066.1] [location=11893..12060] [gbkey=CDS]	non-specific	223916	3	40	2.83701e-05	38.6725	COG0847	DnaQ	C	cl26203
Q#7 - >lcl|CP000245.1_prot_AEG91066.1_7 [locus_tag=Rta_00070] [protein=hypothetical protein] [protein_id=AEG91066.1] [location=11893..12060] [gbkey=CDS]	superfamily	331024	3	40	2.83701e-05	38.6725	cl26203	PolC superfamily	C	 - 
Q#8 - >lcl|CP000245.1_prot_AEG91067.1_8 [locus_tag=Rta_00075] [protein=5-methylcytosine-specific restriction enzyme B-like protein] [protein_id=AEG91067.1] [location=12207..15023] [gbkey=CDS]	non-specific	224319	418	895	6.21378e-23	104.126	COG1401	McrB	 - 	cl26392
Q#8 - >lcl|CP000245.1_prot_AEG91067.1_8 [locus_tag=Rta_00075] [protein=5-methylcytosine-specific restriction enzyme B-like protein] [protein_id=AEG91067.1] [location=12207..15023] [gbkey=CDS]	superfamily	331213	418	895	6.21378e-23	104.126	cl26392	McrB superfamily	 - 	 - 
Q#9 - >lcl|CP000245.1_prot_AEG91068.1_9 [locus_tag=Rta_00076] [protein=Conserved hypothetical protein] [protein_id=AEG91068.1] [location=15030..17252] [gbkey=CDS]	non-specific	224614	42	565	1.59003e-39	152.786	COG1700	COG1700	 - 	cl27159
Q#9 - >lcl|CP000245.1_prot_AEG91068.1_9 [locus_tag=Rta_00076] [protein=Conserved hypothetical protein] [protein_id=AEG91068.1] [location=15030..17252] [gbkey=CDS]	superfamily	331980	42	565	1.59003e-39	152.786	cl27159	PDDEXK_7 superfamily	 - 	 - 
Q#12 - >lcl|CP000245.1_prot_AEG91071.1_12 [locus_tag=Rta_00110] [protein=exonuclease protein-like protein] [protein_id=AEG91071.1] [location=20413..21027] [gbkey=CDS]	specific	223916	1	148	1.29708e-34	122.646	COG0847	DnaQ	C	cl26203
Q#12 - >lcl|CP000245.1_prot_AEG91071.1_12 [locus_tag=Rta_00110] [protein=exonuclease protein-like protein] [protein_id=AEG91071.1] [location=20413..21027] [gbkey=CDS]	superfamily	331024	1	148	1.29708e-34	122.646	cl26203	PolC superfamily	C	 - 
Q#13 - >lcl|CP000245.1_prot_AEG91072.1_13 [locus_tag=Rta_00120] [protein=Conserved hypothetical protein] [protein_id=AEG91072.1] [location=complement(21098..21715)] [gbkey=CDS]	specific	223676	2	200	9.94046e-64	196.303	COG0603	QueC	 - 	cl00292
Q#13 - >lcl|CP000245.1_prot_AEG91072.1_13 [locus_tag=Rta_00120] [protein=Conserved hypothetical protein] [protein_id=AEG91072.1] [location=complement(21098..21715)] [gbkey=CDS]	superfamily	320882	2	200	9.94046e-64	196.303	cl00292	AANH_like superfamily	 - 	 - 
Q#14 - >lcl|CP000245.1_prot_AEG91073.1_14 [locus_tag=Rta_00130] [protein=Candidate Mandelate racemase] [protein_id=AEG91073.1] [location=complement(21873..22952)] [gbkey=CDS]	specific	227284	5	359	6.46099e-75	235.748	COG4948	RspA	 - 	cl26191
Q#14 - >lcl|CP000245.1_prot_AEG91073.1_14 [locus_tag=Rta_00130] [protein=Candidate Mandelate racemase] [protein_id=AEG91073.1] [location=complement(21873..22952)] [gbkey=CDS]	superfamily	331012	5	359	6.46099e-75	235.748	cl26191	MR_MLE_C superfamily	 - 	 - 
Q#15 - >lcl|CP000245.1_prot_AEG91074.1_15 [locus_tag=Rta_00140] [protein=transcriptional regulator, LysR family-like protein] [protein_id=AEG91074.1] [location=complement(23248..24144)] [gbkey=CDS]	specific	223656	10	294	1.41511e-30	116.224	COG0583	LysR	 - 	cl28285
Q#15 - >lcl|CP000245.1_prot_AEG91074.1_15 [locus_tag=Rta_00140] [protein=transcriptional regulator, LysR family-like protein] [protein_id=AEG91074.1] [location=complement(23248..24144)] [gbkey=CDS]	superfamily	333105	10	294	1.41511e-30	116.224	cl28285	LysR superfamily	 - 	 - 
Q#16 - >lcl|CP000245.1_prot_AEG91075.1_16 [gene=ygjT] [locus_tag=Rta_00150] [protein=candidate membrane protein] [protein_id=AEG91075.1] [location=24177..25184] [gbkey=CDS]	specific	223930	92	305	2.61609e-52	172.779	COG0861	TerC	 - 	cl10468
